TYPEDEVEILLE	THEMATIQUE	SECTION	DOMAINE	SOUSDOMAINE	Enrichment_GPT_Matching_Themes
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Dispositions générales		"{
  isMatch: true,
  oldCategory: ""15 - SSI / Renseignements génériques / Commerce électronique"",
  comment: ""La catégorie actuelle fait référence à la sécurité des systèmes d'information appliquée aux contrats électroniques, qui relèvent du commerce électronique. Il n'existe pas de catégorie spécifique pour les contrats du code de la consommation, mais la thématique la plus proche est celle du commerce électronique dans l'ancienne base.""
}"
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats conclus à distance		"{
  isMatch: true,
  oldCategory: ""15 - SSI / Renseignements génériques / Commerce électronique"",
  comment: ""La catégorie actuelle fait référence à la sécurité des systèmes d'information appliquée aux contrats électroniques, notamment ceux du code de la consommation et conclus à distance. L'ancienne catégorie la plus proche est celle du commerce électronique dans le contexte SSI.""
}"
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Définitions et champ d'application	"{
  isMatch: true,
  oldCategory: ""15 - SSI / Renseignements génériques / Commerce électronique"",
  comment: ""La catégorie actuelle traite des contrats électroniques et de la fourniture de contenus/services numériques, ce qui correspond à la thématique 'Commerce électronique' dans l'ancien système. Il n'existe pas de catégorie plus précise sur les contrats électroniques ou le code de la consommation dans l'ancien référentiel.""
}"
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Formation, modification et durée du contrat	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Fourniture des contenus numériques et des services numériques	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Garantie légale de conformité pour les contenus numériques et les services numériques	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Dispositions diverses	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Sanctions civiles	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Contrats du code de la consommation	Contrats de fourniture de contenus numériques et de services numériques	Sanctions administratives	
Sécurité des systèmes d'information (SSI)	Contrats électroniques	Dispositions générales			
Sécurité des systèmes d'information (SSI)	Économie numérique	Dispositions générales			
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Définitions et principes		
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Annuaires et services de renseignements	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Dispositions particulières au réseau de communications électroniques des services de secours et de sécurité	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Dispositions particulières aux prestations d'itinérance ultramarine	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Équipements radioélectriques et terminaux	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Interconnexion et accès au réseau	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Protection de la vie privée des utilisateurs de réseaux et services de communications électroniques	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Régime d'autorisation préalable de l'exploitation des équipements de réseaux radioélectriques	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Régime d'autorisation préalable de l'exploitation des équipements de réseaux radioélectriques	
Sécurité des systèmes d'information (SSI)	Économie numérique	Communication par voie électronique	Régime juridique	Réseaux et services	
Sécurité des systèmes d'information (SSI)	Économie numérique	Cryptologie			
Sécurité des systèmes d'information (SSI)	Économie numérique	Fournisseur de service dit « intermédiaire »			
Sécurité des systèmes d'information (SSI)	Économie numérique	Intelligence artificielle			
Sécurité des systèmes d'information (SSI)	Économie numérique	Produits connectés			
Sécurité des systèmes d'information (SSI)	Économie numérique	Services en nuage (cloud)			
Sécurité des systèmes d'information (SSI)	Économie numérique	Très grandes plateformes en ligne et très grands moteurs de recherche			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Dispositions générales			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Certification			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Cybersécurité des flux transfrontaliers d'énergie			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Données à forte valeur			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Dispositions générales		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Activités civiles de l'Etat		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Activités industrielles de l'armement		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Activités judiciaires		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Activités militaires de l'Etat		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Alimentation		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Approvisionnement en énergie électrique		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Approvisionnement en gaz naturel		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Approvisionnement en hydrocarbures pétroliers		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Audiovisuel et information		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Communications électroniques et Internet		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Dissuasion nucléaire		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Espace		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Etablissements de santé		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Finances		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Gestion de l'eau		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Industrie		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Nucléaire		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Produits de santé		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Recherche publique		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Transport aérien		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Transports maritime et fluvial		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Transports terrestres		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations d'importance vitale	Veille et alerte sanitaires		
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations classifiées			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Informations sensibles			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Qualification			
Sécurité des systèmes d'information (SSI)	Sécurité des systèmes	Sanctions en cas d'atteintes aux systèmes de traitement automatisé de données			
Sécurité des systèmes d'information (SSI)	Signature électronique	Dispositions générales			
Sécurité des systèmes d'information (SSI)	Signature électronique	Factures transmises par voie électronique			
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Dispositions générales			
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Dispositions générales		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Dossier médical partagé		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Dossier médical en santé au travail		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Dossier pharmaceutique		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Incidents de sécurité		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Mise à disposition des données de santé		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Données de santé	Services numériques en santé		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Respect de la vie privée			
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Andorre		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Argentine		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Canada		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	États-Unis		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Guernesey		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Îles Féroé		
